delivery_id,Date,Exam Name,Score,Passed,Points Earned,Points Available,Duration,Form,Form ID,Form Version ID
67693684-4730-4220-bd7e-036f78d41159,41:39.5,Game of Thrones Season 1,33.33333333,,7,21,327,Form C,9f8d8210-48d2-4f0b-b0c0-f61c425cee7b,afe475f1-434d-4311-b19a-2e6877a36ca0
8080b33a-d24c-454f-900b-936fb4a78ec6,01:28.7,Game of Thrones Season 1,38.0952381,,8,21,556,Form A,be88c53a-80a7-4227-82d1-c8b82c44983b,34099578-25cb-4d19-9fe6-a8322bcc95ae
745f5314-7009-4237-9bb4-ac4d5a46496b,59:18.4,Game of Thrones Season 1,19.04761905,,4,21,298,Form A,be88c53a-80a7-4227-82d1-c8b82c44983b,34099578-25cb-4d19-9fe6-a8322bcc95ae
8a804a06-e078-4d5b-a7ac-a3b23fe6b5b6,19:04.4,Game of Thrones Season 1,19.04761905,,4,21,666,Form C,9f8d8210-48d2-4f0b-b0c0-f61c425cee7b,afe475f1-434d-4311-b19a-2e6877a36ca0
de1cfa53-1c45-4cb5-aa29-dd86bfb853b4,10:36.3,Game of Thrones Season 1,57.14285714,,12,21,395,Form B,2f1ec53a-57ac-40e2-87cd-20472f722a2a,40b439c2-ae86-4f84-abef-860e76bc194f
c9df3b5c-9589-4086-9785-9e23c0aeefdb,37:30.2,Game of Thrones Season 1,47.61904762,,10,21,345,Form A,be88c53a-80a7-4227-82d1-c8b82c44983b,34099578-25cb-4d19-9fe6-a8322bcc95ae
cbca50dc-de44-4287-8f9d-546d343bc123,34:32.4,Game of Thrones Season 1,33.33333333,,7,21,579,Form C,9f8d8210-48d2-4f0b-b0c0-f61c425cee7b,afe475f1-434d-4311-b19a-2e6877a36ca0
0399ee9f-36c5-47c7-adac-32c03179a4a1,55:38.3,Game of Thrones Season 1,61.9047619,,13,21,536,Form B,2f1ec53a-57ac-40e2-87cd-20472f722a2a,40b439c2-ae86-4f84-abef-860e76bc194f
fdea19d4-1f6d-45dc-a9e6-cc362dc5293f,59:28.8,Game of Thrones Season 1,42.85714286,,9,21,498,Form C,9f8d8210-48d2-4f0b-b0c0-f61c425cee7b,afe475f1-434d-4311-b19a-2e6877a36ca0
caf04676-36ac-485d-9bc9-34e3e4fada8e,15:51.6,Game of Thrones Season 1,4.761904762,,1,21,22045,Form A,be88c53a-80a7-4227-82d1-c8b82c44983b,34099578-25cb-4d19-9fe6-a8322bcc95ae
5a58e7b8-f2af-4634-ac75-c50f25674381,34:24.6,Game of Thrones Season 1,47.61904762,,10,21,588,Form A,be88c53a-80a7-4227-82d1-c8b82c44983b,34099578-25cb-4d19-9fe6-a8322bcc95ae
d6f3fe96-6012-4109-8590-81ca3312a046,40:43.4,Game of Thrones Season 1,71.42857143,,15,21,715,Form A,be88c53a-80a7-4227-82d1-c8b82c44983b,34099578-25cb-4d19-9fe6-a8322bcc95ae
4178ce6a-2daa-4e85-ba64-2612cdbc7fb4,51:39.9,Game of Thrones Season 1,42.85714286,,9,21,804,Form A,be88c53a-80a7-4227-82d1-c8b82c44983b,34099578-25cb-4d19-9fe6-a8322bcc95ae
6dd3bdd0-7b4b-465c-a909-6a4ad4f10df4,30:06.7,Game of Thrones Season 1,47.61904762,,10,21,455,Form B,2f1ec53a-57ac-40e2-87cd-20472f722a2a,40b439c2-ae86-4f84-abef-860e76bc194f
c7ed6302-f26f-433e-95a0-90dcf4f71540,51:38.7,Game of Thrones Season 1,52.38095238,,11,21,604,Form C,9f8d8210-48d2-4f0b-b0c0-f61c425cee7b,afe475f1-434d-4311-b19a-2e6877a36ca0
0f891ff0-bd19-42c1-ae9c-2c0f3a2789cc,07:45.6,Game of Thrones Season 1,9.523809524,,2,21,534,Form B,2f1ec53a-57ac-40e2-87cd-20472f722a2a,40b439c2-ae86-4f84-abef-860e76bc194f
f119f7a7-7fc8-49c7-b0d4-e629bb1ea2d7,27:47.7,Game of Thrones Season 1,52.38095238,,11,21,850,Form B,2f1ec53a-57ac-40e2-87cd-20472f722a2a,40b439c2-ae86-4f84-abef-860e76bc194f
